   1.420    0.6541E-01    0.6321E-01    0.6453E-01   -0.1618E+00    0.1022E+00    0.3898E-01   -0.9342E-02   -0.8021E-02
   1.440    0.6455E-01    0.6252E-01    0.6365E-01   -0.1600E+00    0.1012E+00    0.3869E-01   -0.9044E-02   -0.7909E-02
   1.460    0.6370E-01    0.6184E-01    0.6279E-01   -0.1582E+00    0.1002E+00    0.3840E-01   -0.8755E-02   -0.7800E-02
   1.480    0.6288E-01    0.6117E-01    0.6195E-01   -0.1564E+00    0.9930E-01    0.3812E-01   -0.8475E-02   -0.7696E-02
   1.500    0.6208E-01    0.6053E-01    0.6114E-01   -0.1547E+00    0.9837E-01    0.3785E-01   -0.8205E-02   -0.7592E-02
   1.520    0.6130E-01    0.5989E-01    0.6035E-01   -0.1530E+00    0.9746E-01    0.3757E-01   -0.7944E-02   -0.7491E-02
   1.540    0.6053E-01    0.5927E-01    0.5957E-01   -0.1513E+00    0.9657E-01    0.3730E-01   -0.7691E-02   -0.7393E-02
   1.560    0.5979E-01    0.5867E-01    0.5882E-01   -0.1497E+00    0.9570E-01    0.3703E-01   -0.7447E-02   -0.7296E-02
   1.580    0.5905E-01    0.5807E-01    0.5808E-01   -0.1481E+00    0.9484E-01    0.3677E-01   -0.7211E-02   -0.7204E-02
   1.600    0.5834E-01    0.5749E-01    0.5736E-01   -0.1465E+00    0.9399E-01    0.3650E-01   -0.6982E-02   -0.7113E-02
   1.620    0.5764E-01    0.5692E-01    0.5666E-01   -0.1450E+00    0.9316E-01    0.3624E-01   -0.6762E-02   -0.7022E-02
   1.640    0.5695E-01    0.5635E-01    0.5597E-01   -0.1435E+00    0.9234E-01    0.3598E-01   -0.6549E-02   -0.6933E-02
   1.660    0.5628E-01    0.5580E-01    0.5530E-01   -0.1420E+00    0.9153E-01    0.3573E-01   -0.6344E-02   -0.6849E-02
   1.680    0.5563E-01    0.5526E-01    0.5464E-01   -0.1405E+00    0.9074E-01    0.3547E-01   -0.6146E-02   -0.6766E-02
   1.700    0.5498E-01    0.5473E-01    0.5400E-01   -0.1391E+00    0.8995E-01    0.3522E-01   -0.5955E-02   -0.6684E-02
   1.720    0.5435E-01    0.5420E-01    0.5337E-01   -0.1377E+00    0.8917E-01    0.3497E-01   -0.5771E-02   -0.6605E-02
   1.740    0.5372E-01    0.5368E-01    0.5275E-01   -0.1363E+00    0.8840E-01    0.3472E-01   -0.5593E-02   -0.6527E-02
   1.760    0.5311E-01    0.5317E-01    0.5214E-01   -0.1349E+00    0.8765E-01    0.3447E-01   -0.5422E-02   -0.6452E-02
   1.780    0.5248E-01    0.5265E-01    0.5152E-01   -0.1336E+00    0.8687E-01    0.3422E-01   -0.5249E-02   -0.6375E-02
   1.800    0.5189E-01    0.5215E-01    0.5094E-01   -0.1322E+00    0.8612E-01    0.3398E-01   -0.5097E-02   -0.6304E-02
   1.820    0.5128E-01    0.5163E-01    0.5034E-01   -0.1309E+00    0.8535E-01    0.3372E-01   -0.4939E-02   -0.6232E-02
   1.840    0.5070E-01    0.5113E-01    0.4976E-01   -0.1296E+00    0.8462E-01    0.3349E-01   -0.4792E-02   -0.6165E-02
   1.860    0.5012E-01    0.5064E-01    0.4920E-01   -0.1284E+00    0.8389E-01    0.3325E-01   -0.4651E-02   -0.6096E-02
   1.880    0.4955E-01    0.5016E-01    0.4864E-01   -0.1271E+00    0.8317E-01    0.3301E-01   -0.4515E-02   -0.6030E-02
   1.900    0.4899E-01    0.4967E-01    0.4809E-01   -0.1259E+00    0.8245E-01    0.3278E-01   -0.4384E-02   -0.5965E-02
   1.920    0.4843E-01    0.4919E-01    0.4755E-01   -0.1247E+00    0.8174E-01    0.3255E-01   -0.4258E-02   -0.5902E-02
   1.940    0.4788E-01    0.4872E-01    0.4701E-01   -0.1235E+00    0.8104E-01    0.3232E-01   -0.4136E-02   -0.5840E-02
   1.960    0.4734E-01    0.4825E-01    0.4649E-01   -0.1223E+00    0.8034E-01    0.3209E-01   -0.4019E-02   -0.5780E-02
   1.980    0.4680E-01    0.4778E-01    0.4596E-01   -0.1212E+00    0.7964E-01    0.3187E-01   -0.3906E-02   -0.5722E-02
   2.000    0.4627E-01    0.4731E-01    0.4545E-01   -0.1201E+00    0.7896E-01    0.3164E-01   -0.3798E-02   -0.5665E-02
   2.020    0.4575E-01    0.4685E-01    0.4494E-01   -0.1190E+00    0.7827E-01    0.3142E-01   -0.3694E-02   -0.5609E-02
