   1.960  -0.804E-02   0.250E-03   0.647E-03   0.132E-03   0.274E-02   0.555E-02  -0.106E-02
   1.980  -0.797E-02   0.248E-03   0.637E-03   0.129E-03   0.269E-02   0.553E-02  -0.107E-02
   2.000  -0.790E-02   0.245E-03   0.628E-03   0.125E-03   0.264E-02   0.550E-02  -0.107E-02
   2.020  -0.783E-02   0.243E-03   0.618E-03   0.122E-03   0.260E-02   0.548E-02  -0.108E-02
   2.040  -0.775E-02   0.238E-03   0.601E-03   0.118E-03   0.254E-02   0.545E-02  -0.109E-02
   2.060  -0.768E-02   0.234E-03   0.589E-03   0.114E-03   0.249E-02   0.542E-02  -0.110E-02
   2.080  -0.761E-02   0.231E-03   0.580E-03   0.110E-03   0.244E-02   0.539E-02  -0.110E-02
   2.100  -0.754E-02   0.228E-03   0.570E-03   0.106E-03   0.240E-02   0.537E-02  -0.111E-02
   2.120  -0.747E-02   0.225E-03   0.559E-03   0.102E-03   0.235E-02   0.534E-02  -0.112E-02
   2.140  -0.741E-02   0.222E-03   0.548E-03   0.989E-04   0.231E-02   0.532E-02  -0.112E-02
   2.160  -0.734E-02   0.218E-03   0.537E-03   0.947E-04   0.226E-02   0.529E-02  -0.113E-02
   2.180  -0.728E-02   0.214E-03   0.527E-03   0.910E-04   0.222E-02   0.527E-02  -0.114E-02
   2.200  -0.721E-02   0.211E-03   0.515E-03   0.869E-04   0.217E-02   0.524E-02  -0.114E-02
   2.220  -0.715E-02   0.207E-03   0.505E-03   0.833E-04   0.213E-02   0.522E-02  -0.115E-02
   2.240  -0.708E-02   0.203E-03   0.494E-03   0.792E-04   0.209E-02   0.519E-02  -0.116E-02
   2.260  -0.702E-02   0.200E-03   0.483E-03   0.756E-04   0.205E-02   0.517E-02  -0.116E-02
   2.280  -0.696E-02   0.196E-03   0.473E-03   0.722E-04   0.201E-02   0.515E-02  -0.117E-02
   2.300  -0.690E-02   0.193E-03   0.463E-03   0.689E-04   0.197E-02   0.512E-02  -0.117E-02
   2.320  -0.684E-02   0.188E-03   0.451E-03   0.645E-04   0.192E-02   0.510E-02  -0.118E-02
   2.340  -0.678E-02   0.184E-03   0.440E-03   0.608E-04   0.188E-02   0.507E-02  -0.118E-02
   2.360  -0.671E-02   0.180E-03   0.429E-03   0.567E-04   0.184E-02   0.505E-02  -0.119E-02
   2.380  -0.666E-02   0.177E-03   0.419E-03   0.533E-04   0.180E-02   0.503E-02  -0.120E-02
   2.400  -0.660E-02   0.173E-03   0.409E-03   0.501E-04   0.177E-02   0.501E-02  -0.120E-02
   2.420  -0.655E-02   0.169E-03   0.398E-03   0.464E-04   0.173E-02   0.498E-02  -0.121E-02
   2.440  -0.648E-02   0.164E-03   0.386E-03   0.421E-04   0.169E-02   0.496E-02  -0.121E-02
   2.460  -0.643E-02   0.160E-03   0.375E-03   0.385E-04   0.165E-02   0.494E-02  -0.122E-02
   2.480  -0.637E-02   0.156E-03   0.364E-03   0.344E-04   0.161E-02   0.491E-02  -0.122E-02
   2.500  -0.631E-02   0.151E-03   0.353E-03   0.303E-04   0.157E-02   0.489E-02  -0.123E-02
   2.520  -0.626E-02   0.148E-03   0.343E-03   0.271E-04   0.154E-02   0.487E-02  -0.123E-02
